node_id,name,in_corpus,case,year
98254,"Tata Iron  and  Steel
Company	 v. Chief Revenue Authority, Bombay",False,,
885027,15,False,,
1849490,section 7,False,,
349194,,True,Sheodhari_Rai_And_Ors_vs_Suraj_Prasad_Singh_And_Ors_on_1_December_1950,1950.0
885778,,True,Sheth_Maneklal_Mansukhbhai_vs_Messrs_Hormusji_Jamshedji_on_21_March_1950,1950.0
85982409,section 27 (A),False,,
221518,"section
53-A",False,,
23965,S. 49,False,,
117343175,The State of Bombay v. Narottamdas Jethabai,True,State_Of_Bombay_vs_Narothamdas_Jethabai_And_Anr_on_20_December_1950,1950.0
55374049,"Whether the Bombay City Civil Court Act, 1948",False,,
118381981,Section 4,False,,
76869205,Section 9,False,,
1102970,Section 13,False,,
58320868,Section 10,False,,
167447,"The Bombay Probation of Offenders Act, 1938",False,,
8438375,(Bombay Act,False,,
83711893,Section 23,False,,
30151149,Section 11,False,,
27986095,Section 92,False,,
149410226,"Bengal Money-lenders' Act, 1940",False,,
63026120,Section 100,False,,
158161760,Section 107,False,,
880360,Mulchand v. Raman,False,,
73344,Stewart v. Brojendra Kishore,False,,
35710051,Section 4,False,,
154684812,City Civil Court Act,False,,
66967936,Bihar Maintenance of Public Order Act,False,,
393016,Provincial Act,False,,
70659390,Section 5,False,,
53867724,Section 100(1),False,,
1553978,Section 100,False,,
27785566,Section 3,False,,
1132672,Negotiable Instruments Act,False,,
73634590,Section 3,False,,
1143713,Section 107,False,,
53380450,"Civil Court Act, 1948",False,,
100556214,Madras City Civil Court Act,False,,
117720930,Section 4,False,,
91444475,Section 1(3),False,,
48463019,19,False,,
72037409,Sections 220,False,,
653417,"Bharat Bank Ltd., Delhi v. Employees of the  Bharat
Bank  Ltd.,  Delhi",True,The_Bharat_Bank_Ltd_Delhi_vs_Employees_Of_The_Bharat_Bank_on_26_May_1950,1950.0
427855,Art. 136--,False,,
500379,"Industrial Tribunal-Industrial  Disputes	Act,
1947",False,,
783690,"Article
132",False,,
1325025,Article 133,False,,
1446285,article 134,False,,
383535,sections 480,False,,
1679850,482,False,,
169363547,"Act, Encumbered Estates Act",False,,
206658,section 15,False,,
743851,"Pritam
Singh  v. The State",False,,
310761,section 8,False,,
1150040,section	7,False,,
1669932,section 10,False,,
786824,"Article
131",False,,
137639,Article	 135,False,,
948250,articles 138,False,,
556297,", 139",False,,
101688,140,False,,
1712542,article 226,False,,
1953529,"In
the  Indian  Evidence  Act",False,,
1418464,section 2,False,,
1295761,section 38,False,,
31217,section 11,False,,
867674,section	 11 (3),False,,
308396,sections 193,False,,
1969991,228,False,,
1109872,"Western  India
Automobile   Association v.  Industrial	  Tribunal,   Bombay",False,,
71645233,Relief of Indebtedness Act,False,,
226033,section 29,False,,
1993072,19,False,,
165229,Army Act,False,,
254439,section  40,False,,
1052228,Arbitration Act,False,,
1558054,Mohammad Ahmad v. Governor-General,False,,
82577596,"section
115",False,,
1176020,Hari v. Secretary of State,False,,
1728537,section 23 (b),False,,
1603215,section 16,False,,
1067982,"Fakira  v.
King Emperor",False,,
509428,section	 18,False,,
214169,Bar Councils Act,False,,
1439055,section 19 (3),False,,
1068433,section 2 (b),False,,
531294,,True,The_Bharat_Bank_Ltd_Delhi_vs_The_Employees_Of_The_Bharat_Bank_Ltd_on_1_March_1950,1950.0
1148896,R. v. Local Government Board,False,,
1392078,Mohammad Ahmed v. Governal-General,False,,
195753,section 377,False,,
