overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
2885,147220032,M/S. Dharmaratnakara Rai Bahadur Arcot ... vs M/S. Bhaskar Raju And Brothers,2020.0,https://indiankanoon.org/doc/147220032/,case,11,C11_S4,expanded,0.0001153077066504999,9.066303070341614e-06,0.0021876312771598244,0.0,1,5,0.3943491422805247,0.3719475277497477,0.6678102926337033,0.44008072653884966,False
2886,1144022,"East India Hotels Ltd. vs Syndicate Bank on 12 September, 1991",1991.0,https://indiankanoon.org/doc/1144022/,case,5,C5_S5,expanded,0.00011287045123371562,0.0001079830997289636,0.0038761882427996836,0.4,0,5,0.1432896064581231,0.5880928355196771,0.7370332996972755,0.43995963673057514,False
2888,39375670,"P.V. Nidhish vs Kerala State Wakf Board on 28 April, 2023",2023.0,https://indiankanoon.org/doc/39375670/,case,1,C1_S4,expanded,0.00011287045123371562,8.694678862767898e-05,0.005655577352387499,0.3333333333333333,0,6,0.1432896064581231,0.560443995963673,0.78970736629667,0.4394349142280525,False
2889,1427996,Bhanwar Singh vs Puran & Ors,,https://indiankanoon.org/doc/1427996/,case,1,C1_S2,expanded,0.000136522538539333,2.3216833057116323e-07,3.2730043695546855e-05,0.0,2,1,0.5935418768920283,0.31079717457114026,0.3880928355196771,0.43935418768920287,False
2891,775622,"State Of Bihar & Ors vs Harihar Prasad Debuka Etc on 21 February, 1989",1989.0,https://indiankanoon.org/doc/775622/,case,0,C0_S7,expanded,0.00012086158821679959,2.4807321299038985e-05,6.055170442987655e-05,0.25,1,7,0.4710393541876892,0.4238143289606458,0.40383451059535824,0.4387083753784057,False
2895,5402545,"Mohan Singh Gill & Ors. Etc. Etc vs State Of Punjab & Ors. Etc. Etc on 25 March, 2015",2015.0,https://indiankanoon.org/doc/5402545/,case,2,C2_S1,expanded,0.00011287045123371562,0.00014111951977496739,0.0019145427180561675,0.0,0,11,0.1432896064581231,0.625832492431887,0.6514631685166499,0.43794147325933397,False
2897,94072,"Mysore Minerals Ltd., M.G. Road, ... vs Commissioner Of Income Tax, Karnataka, ... on 1 September, 1999",1999.0,https://indiankanoon.org/doc/94072/,case,1,C1_S6,expanded,0.00011886208252642069,8.771165855844141e-05,0.0,0.6666666666666666,1,5,0.4390514631685167,0.562058526740666,0.18446014127144297,0.4373360242179617,False
2898,192242103,Madhya_Pradesh_Special_Police_vs_State_Of_Madhya_Pradesh_Ors_on_5_November_2004,2004.0,https://indiankanoon.org/doc/192242103/,case,0,C0_S5,expanded,0.00011853801868764079,1.3344296568074363e-05,0.000609100880920973,0.0,1,5,0.43461150353178607,0.387891019172553,0.5402623612512614,0.4370534813319879,False
2900,59307297,M/S Park Street Properties (Pvt) Ltd vs Dipak Kumar Singh And Anr,2016.0,https://indiankanoon.org/doc/59307297/,case,7,C7_S8,expanded,0.00011971802985395,8.073401006201337e-05,0.0,0.5,1,3,0.44954591321897075,0.5495459132189707,0.18446014127144297,0.43652875882946524,False
2901,30386365,"Ved Kumari (Dead Thr. Her Lr) Dr. Vijay ... vs Municipal Corporation Of Delhi Through ... on 24 August, 2023",2023.0,https://indiankanoon.org/doc/30386365/,case,5,C5_S8,expanded,0.00011287045123371562,0.00032004852594723734,6.95351288343202e-05,0.2,0,5,0.1432896064581231,0.743087790110999,0.40807265388496466,0.4361654894046418,False
2902,35714468,The Auroville Foundation vs Navroz Kersasp Mody,2025.0,https://indiankanoon.org/doc/35714468/,case,12,C12_S2,expanded,0.00011287045123371562,5.611065399057292e-05,0.01194538097992988,0.07142857142857142,0,14,0.1432896064581231,0.5071644803229062,0.8795156407669021,0.4360847628657922,False
2904,188716489,Vijay Kumar Jain vs Standard Chartered Bank,2019.0,https://indiankanoon.org/doc/188716489/,case,7,C7_S1,expanded,0.00013318493447374427,2.843022577373883e-07,4.946646038360595e-05,0.0,3,1,0.5788092835519677,0.31140262361251264,0.39798183652875885,0.4356811301715439,False
2905,85584373,Union Of India Ministry Of Petroleum And ... vs Hardy Exploration And Production ...,2018.0,https://indiankanoon.org/doc/85584373/,case,11,C11_S0,expanded,0.00012028660057944846,2.7322161926898784e-06,0.001027905594559075,0.0,1,5,0.4581231079717457,0.33804238143289606,0.5850655903128154,0.43547931382441984,False
2906,19113341,"Life Insurance Corporation Of India vs The State Of Rajasthan State Of ... on 30 April, 2024",2024.0,https://indiankanoon.org/doc/19113341/,case,13,C13_S0,expanded,0.00011287045123371562,4.578819793139505e-05,0.01834862385321101,0.6,0,5,0.1432896064581231,0.48577194752774977,0.9187689202825429,0.4353784056508577,False
2907,75370339,"Ajay Kumar Radheyshyam Goenka vs Tourism Finance Corporation Of India ... on 15 March, 2023",2023.0,https://indiankanoon.org/doc/75370339/,case,7,C7_S6,expanded,0.00011287045123371562,7.745143452913194e-05,0.006434725650165879,0.0,0,10,0.1432896064581231,0.5426841574167508,0.8046417759838547,0.4353178607467205,False
2909,121990,"Haridwar Development ... vs Raghubir Singh, Etc on 29 January, 2010",2010.0,https://indiankanoon.org/doc/121990/,case,6,C6_S2,expanded,0.00012352224019852463,5.202202412863299e-05,0.0,0.3333333333333333,1,2,0.49727547931382443,0.498284561049445,0.18446014127144297,0.4351160443995964,False
2910,191739450,"Karnail Singh vs State Of Haryana Through Secretary To ... on 16 May, 2024",2024.0,https://indiankanoon.org/doc/191739450/,case,0,C0_S0,expanded,0.00011287045123371562,0.00029520700325209615,0.00010845852463247078,0.5384615384615384,0,13,0.1432896064581231,0.7311806256306761,0.42623612512613523,0.4350353178607468,False
2911,88911993,Anglo American Metallurgical Coal Pty ... vs Mmtc Ltd.,2020.0,https://indiankanoon.org/doc/88911993/,case,11,C11_S3,expanded,0.00011287045123371562,9.255856505371678e-05,0.004177085150768263,0.2222222222222222,0,9,0.1432896064581231,0.5699293642785066,0.748335015136226,0.43495459132189707,False
2914,144487932,"The Cosmos Co Operative Bank Ltd vs Central Bank Of India on 4 February, 2025",2025.0,https://indiankanoon.org/doc/144487932/,case,1,C1_S6,expanded,0.00011287045123371562,0.0001503648791025918,0.0013573592353561736,0.375,0,8,0.1432896064581231,0.6359233097880929,0.6133198789101917,0.43434914228052474,False
2915,36490022,State Of H.P vs Nirmala Devi,2017.0,https://indiankanoon.org/doc/36490022/,case,18,C18,expanded,0.00011287045123371562,3.143386040754056e-05,0.25,0.0,0,2,0.1432896064581231,0.4452068617558022,0.994752774974773,0.43434914228052474,False
2916,823444,Commissioner_Of_Income_Tax_Kerala_vs_Malayalam_Plantation_Ltd_on_10_April_1964,1964.0,https://indiankanoon.org/doc/823444/,case,10,C10_S3,expanded,0.00014482581812814272,6.2067893174177945e-06,0.0,0.5,1,1,0.6349142280524722,0.358627648839556,0.18446014127144297,0.4343087790110999,False
2917,34999496,The_Kerala_State_Electricity_Board_vs_T_P_Kunhaliumma_on_29_October_1976,1976.0,https://indiankanoon.org/doc/34999496/,case,5,C5_S1,expanded,0.0001317345730631814,2.5835296347546026e-05,0.0,0.6,5,0,0.5660948536831484,0.4260343087790111,0.18446014127144297,0.4337436932391524,False
2918,53727512,"Dinesh vs The State Of Madhya Pradesh on 15 May, 2024",2024.0,https://indiankanoon.org/doc/53727512/,case,2,C2_S1,expanded,0.00011287045123371562,0.00015443694357684227,0.0012289208396889465,0.0,0,7,0.1432896064581231,0.6393541876892028,0.601816347124117,0.43342078708375376,False
2919,75853915,Indus Mobile Distribution Pvt. Ltd vs Datawind Innovations Pvt. Ltd. And Ors,2017.0,https://indiankanoon.org/doc/75853915/,case,11,C11_S0,expanded,0.00012900170064156496,3.8227152321683807e-07,0.0001527055585963632,0.0,2,4,0.5491422805247225,0.31342078708375376,0.4409687184661958,0.4332189707366297,False
2923,48653252,Hari Steel And General Industries Ltd vs Daljit Singh,2019.0,https://indiankanoon.org/doc/48653252/,case,5,C5_S0,expanded,0.00011287045123371562,0.000692522569085777,0.0,0.6,0,5,0.1432896064581231,0.846417759838547,0.18446014127144297,0.4327749747729566,False
2924,22199176,"Anushka Rengunthwar vs Union Of India on 3 February, 2023",2023.0,https://indiankanoon.org/doc/22199176/,case,0,C0_S0,expanded,0.00011287045123371562,0.00023389453134669335,0.00028250326385080457,0.35714285714285715,0,14,0.1432896064581231,0.6992936427850656,0.47850655903128153,0.43273461150353176,False
2925,363952,Pushpa Devi Bhagat (D) Th. Lr.Smt. ... vs Rajinder Singh & Ors,,https://indiankanoon.org/doc/363952/,case,5,C5_S8,expanded,0.0001471628506547244,3.3268045950987737e-06,0.0,0.3333333333333333,3,0,0.6464177598385469,0.3418768920282543,0.18446014127144297,0.4322098890010091,False
2930,56824826,"Ramachandran vs Vijayan on 22 November, 2024",2024.0,https://indiankanoon.org/doc/56824826/,case,1,C1_S2,expanded,0.00011287045123371562,0.00013940530705532244,0.0014749910575213494,0.25,0,4,0.1432896064581231,0.6242179616548941,0.6221997981836529,0.4314429868819375,False
2931,1506370,Workmen_Of_Nilgiri_Coop_Mkt_Society_vs_State_Of_Tamil_Nadu_Ors_on_5_February_2004,2004.0,https://indiankanoon.org/doc/1506370/,case,9,C9_S8,expanded,0.00013171268871734504,6.072520873111474e-08,6.745731379667643e-05,0.0,2,2,0.5658930373360243,0.30918264379414734,0.4066599394550959,0.43136226034308783,False
2932,47687478,"Krishna Lal Chawla vs State Of U.P. on 8 March, 2021",2021.0,https://indiankanoon.org/doc/47687478/,case,13,C13_S3,expanded,0.00012306241362487747,4.95343801332861e-05,0.0,0.4,1,4,0.49273461150353176,0.49303733602421795,0.18446014127144297,0.4312008072653885,False
2934,868356,"Express Hotels Private Limited vs State Of Gujarat & Anr on 2 May, 1989",1989.0,https://indiankanoon.org/doc/868356/,case,0,C0_S7,expanded,0.00012740266283765058,4.603181595229859e-06,2.3971708875667304e-05,0.3333333333333333,3,3,0.5348133198789102,0.3511604439959637,0.3832492431886983,0.43103935418768924,False
2936,176192,"P.Venugopal vs Union Of India on 8 May, 2008",2008.0,https://indiankanoon.org/doc/176192/,case,0,C0_S0,expanded,0.00012121797564695372,1.1613856592579812e-05,0.00016094797409472718,0.16666666666666666,2,4,0.47386478304742685,0.38143289606458125,0.44278506559031283,0.43067608476286584,False
2937,1975790,Mir_Fazeelath_Hussain_And_Ors_vs_Special_Deputy_Collector_Land_on_15_May_1992,1992.0,https://indiankanoon.org/doc/1975790/,case,2,C2_S3,expanded,0.0001202447666708911,6.48581332380039e-06,0.00048056579249012085,0.25,1,3,0.4560040363269425,0.36004036326942485,0.520686175580222,0.4305549949545913,False
