parent_community,subcommunity_id,size,top_label,top5_labels,top_betweenness_label
5,C5_misc,8,Bishna @ Bhiswadeb Mahato & Ors vs State Of West Bengal,"Bishna @ Bhiswadeb Mahato & Ors vs State Of West Bengal | K.T. Huchegowda vs Deputy Commissioner on 18 March, 1994 | Swaran Singh And Others vs State Of Punjab And Others on 12 April, 1994 | Kailash vs State Of M.P | Ramjee Rai & Ors vs State Of Bihar","K.T. Huchegowda vs Deputy Commissioner on 18 March, 1994"
6,C6_S0,89,Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006,"Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006 | Jayalakshmi Coelho vs Oswald Joseph Coelho on 28 February, 2001 | State
of Punjab v. Darshan Singh | State of Haryana v.
Gurcharan Singh and Anr | 1996) 11 S.C.C.  528 State of Bihar	 and
another	 versus Nilmani Sahu and another",Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006
6,C6_S1,89,Lucknow Development Authority vs Krishna Gopal Lahoti And Ors,Lucknow Development Authority vs Krishna Gopal Lahoti And Ors | The Land Acquisition Officer vs Thekkiammal @ Thiruppathiammal | The Special Tahsildar (La) vs M.Eswari Ammal | The Special Tahsildar(L.A.) vs V.N.Palani Chetty | The Land Acquisition Officer vs Munusamy,Lucknow Development Authority vs Krishna Gopal Lahoti And Ors
6,C6_S2,33,"Administrator General Of West Bengal vs Collector, Varanasi on 16 February, 1988","Administrator General Of West Bengal vs Collector, Varanasi on 16 February, 1988 | Smt. Basavva & Ors. Etc vs The Spl. Land Acquisition Officer & Ors on 15 March, 1996 | Chimanlal Hargovinddas vs Special Land Acquisition Officer, ... on 21 July, 1988 | Chandrashekar (D) By Lrs. & Ors vs Land Acquisition Officer & Anr | Special Land Acquisition Officer & Anr. vs. M.K. Rafiq Sahib","Administrator General Of West Bengal vs Collector, Varanasi on 16 February, 1988"
6,C6_S3,31,Raghubans_Narain_Singh_vs_The_Uttar_Pradesh_Government_Through_on_23_September_1966,"Raghubans_Narain_Singh_vs_The_Uttar_Pradesh_Government_Through_on_23_September_1966 | Mehrawal Khewaji Trust(Regd) ... vs State Of Punjab & Ors on 27 April, 2012 | Collector_Raigarh_vs_Dr_Harisingh_Thakur_Anr_And_Vice_on_27_October_1978 | Himmat_Singh_And_Ors_vs_State_Of_M_P_And_Anr_on_29_November_2013 | Sagunthala(Dead) Thr. Lrs vs Special Tahsildar (L.A.) & Ors",Himmat_Singh_And_Ors_vs_State_Of_M_P_And_Anr_on_29_November_2013
6,C6_S4,26,"Spl.Land Acquisition Officer vs Karigowda & Ors on 26 April, 2010","Spl.Land Acquisition Officer vs Karigowda & Ors on 26 April, 2010 | Kazi Akiloddin vs State Of Maharashtra on 10 July, 2024 | Chanabasappa vs Karnataka Neeravari Nigam Ltd. And ... | M/S. Faridabad Gas Power Project,Ntpcl vs Om Prakash & Ors | Basant Kumar and Ors. v. Union of India and Ors.","Kazi Akiloddin vs State Of Maharashtra on 10 July, 2024"
6,C6_S5,22,Secretary v.   Bipin Kumar and Anr.,"Secretary v.   Bipin Kumar and Anr. | Tejumal_Bhojwani_And_Ors_vs_State_Of_U_P_on_26_August_2003 | R. Sai Bharathi Vs. J. Jayalalitha & 
Ors. [JT | Revenue Divisional Officer-Cum-L.A.O vs Shaik Azam Sahem Etc.Etc | Himmat Singh & Ors vs State Of M.P. & Anr",Secretary v.   Bipin Kumar and Anr.
6,C6_S6,15,"Land Acquisition Officer, Kammarapally Village, Nizamabad District, A.P. v.   Nookala Rajamallu and Ors.","Land Acquisition Officer, Kammarapally Village, Nizamabad District, A.P. v.   Nookala Rajamallu and Ors. | Trishala Jain & Anr vs State Of Uttaranchal & Anr on 5 May, 2011 | K.S. Shivadevamma v.   Assistant Commissioner and Land Acquisition Officer | Atma Singh (Died) Through Lrs. & Ors vs State Of Haryana & Anr | Union Of India vs Raj Kumar Baghal ...","Trishala Jain & Anr vs State Of Uttaranchal & Anr on 5 May, 2011"
6,C6_S7,14,"Suresh Kumar vs Town Improvement Trust, Bhopal on 3 March, 1989","Suresh Kumar vs Town Improvement Trust, Bhopal on 3 March, 1989 | Dollar Company, Madras vs Collector Of Madras on 1 May, 1975 | Horrmal Since Deceased Through His Lrs vs The State Of Haryana on 21 October, 2024 | Sebastiao Luis Fernandes(Dead)By ... vs K.V.P.Shastri & Ors | Hira Lal And Another vs Gajjan And Others on 30 January, 1990","Horrmal Since Deceased Through His Lrs vs The State Of Haryana on 21 October, 2024"
6,C6_S8,13,"Ravinder Narain 
and Anr. V. Union of India","Ravinder Narain 
and Anr. V. Union of India | Ram Kishan (Since Deceased) Through His ... vs State Of Haryana on 3 April, 2025 | Punjab Scheduled Roads and Controlled Areas Restriction of Unregulated Development Act, 1963 | Habitat Estates Pvt. Ltd. vs. The State of Haryana & Ors. | HSIIDC v. Deepak Kumar & Ors","Ram Kishan (Since Deceased) Through His ... vs State Of Haryana on 3 April, 2025"
6,C6_misc,11,"Pratibha Singh & Ors. v. Shanti Devi Prasad 
& Anr.","Pratibha Singh & Ors. v. Shanti Devi Prasad 
& Anr. | Viluben Jhalejar Contractor (D) By Lrs vs State Of Gujarat | Nirmal Singh & Etc.Etc vs State Of Haryana Tr.Collector on 26 September, 2014 | U.P. Awas Evam Vikash Parishad vs Asha Ram(D) Th. Lrs on 23 March, 2021 | Lrs., and others v. State of Haryana and another","Nirmal Singh & Etc.Etc vs State Of Haryana Tr.Collector on 26 September, 2014"
7,C7_S0,47,Indian Contract Act,"Lucknow Development Authority vs M.K. Gupta on 5 November, 1993 | State of Karnataka vs. Vishwabharathi House Building 
Coop. Society and others | Ireo Grace Realtech Pvt. Ltd. vs Abhishek Khanna on 11 January, 2021 | Trans Mediterranean Airways vs M/S. Universal Exports & Anr | Morgan Stanley Mutual Fund vs Kartick Das on 20 May, 1994",Indian Contract Act
7,C7_S1,39,"Companies Act, 2013",Swiss Ribbons Pvt. Ltd. vs Union Of India | M/S. Innoventive Industries Ltd vs Icici Bank | Committee Of Creditors Of Essar Steel ... vs Satish Kumar Gupta | Jaypee_Kensington_Boulevard_vs_Nbcc_India_Ltd_on_24_March_2021 | Anuj Jain Interim Resolution ... vs Axis Bank Limited,Swiss Ribbons Pvt. Ltd. vs Union Of India
7,C7_S10,13,The Banking Regulation Act,"Vivek Narayan Sharma vs Union Of India | Bikram Chatterji vs Union Of India | Internet And Mobile Association Of ... vs Reserve Bank Of India | Keshavlal Khemchand And Sons Pvt Ltd And ... vs Union Of India And Ors on 28 January, 2015 | Municipal Corporation Of Greater ... vs Abhilash Lal",Vivek Narayan Sharma vs Union Of India
7,C7_S11,12,B.K Educational Services Pvt Ltd vs Parag Gupta And Associates,"B.K Educational Services Pvt Ltd vs Parag Gupta And Associates | Sesh Nath Singh v. Baidyabati Sheoraphuli Co-operative Bank Ltd., Civil Appeal No. | Jignesh Shah vs Union Of India | Kotak Mahindra Bank Ltd. vs A. Balakrishnan | Dena Bank (Now Bank Of Baroda) vs C. Shivakumar Reddy on 4 August, 2021",B.K Educational Services Pvt Ltd vs Parag Gupta And Associates
7,C7_S12,10,The Act,"Icici Bank Ltd vs Sidco Leathers Ltd. & Ors | Macquarie Bank Limited vs Shilpi Cable Technologies Ltd | Jitendra Nath Singh vs Official Liquidator & Ors on 21 September, 2012 | Paschimanchal Vidyut Vitran Nigam Ltd. vs Raman Ispat Private Limited | Bank Of Maharashtra vs Pandurang Keshav Gorwardkar & Ors",The Act
7,C7_S2,35,"Securities  &
Exchange  Board of India Act, 1992","Nasiruddin And Ors vs Sita Ram Agarwal | J_P_Bansal_vs_State_Of_Rajasthan_Anr_on_12_March_2003 | Union Of India vs Raman Iron Foundry on 12 March, 1974 | Satish Batra vs Sudhir Rawal on 18 October, 2012 | Fateh_Chand_vs_Balkishan_Das_on_15_January_1963",The Authorised Officer Central Bank Of ... vs Shanmugavelu
7,C7_S3,35,"Securitization and Reconstruction of Financial Assets and Enforcement of Security Interests Act, 2002","NKGSB Cooperative Bank Limited Vs. Subir Chakravarty & Ors. (Civil Appeal 12 No. | United Bank Of India vs Satyawati Tondon & Ors | Itc Limited vs Blue Coast Hotels Ltd. . | Celir Llp vs Bafna Motors (Mumbai) Pvt. Ltd. on 21 September, 2023 | The Authorized Officer,Indian Bank vs D. Visalakshi","Securitization and Reconstruction of Financial Assets and Enforcement of Security Interests Act, 2002"
7,C7_S4,31,Kailash vs Nanhku & Ors,"Kailash vs Nanhku & Ors | Pioneer Urban Land And Infrastructure ... vs Union Of India | Allahabad Bank vs Canara Bank & Another on 10 April, 2000 | K.C. Ninan vs Kerala State Electricity Board & Ors. on 19 May, 2023 | The_Life_Insurance_Corporation_Of_India_vs_D_J_Bahadur_Ors_on_10_November_1980",Pioneer Urban Land And Infrastructure ... vs Union Of India
7,C7_S5,24,Electricity Act,"Maharashtra State Electricity ... vs Maharashtra Electricity Regulatory ... | Ptc India Ltd vs Central Electricity Reg. Comm. ... on 15 March, 2010 | All India Power Engineer Federation & ... vs Sasan Power Ltd. & Ors. Etc | Energy Watchdog vs Central Electricity Regulatory ... | Maharashtra State Electricity Distribution Company Limited v. Adani Power Maharashtra Limited & Ors.1",Electricity Act
7,C7_S6,23,Indian Companies Act,"Manish_Kumar_vs_Union_Of_India_on_19_January_2021 | P. Mohanraj vs M/S. Shah Brothers Ispat Pvt. Ltd. | Dashrath Rupsingh Rathod vs State Of Maharashtra & Anr on 1 August, 2014 | Assistant General Manager State Bank Of ... vs Radhey Shyam Pandey | Lalji Raja & Sons vs Firm Hansraj Nathuram on 23 February, 1971",Manish_Kumar_vs_Union_Of_India_on_19_January_2021
7,C7_S7,18,Motor Vehicles Act,"State Tr.P.S.Lodhi Colony,New Delhi vs Sanjeev Nanda on 3 August, 2012 | Nidhi Kaim & Anr vs State Of M P And Ors Etc | Sushil Ansal vs State Thr.Cbi | M.C.D vs Asscn.,Victims Of Uphaar Tragedy & Ors on 13 October, 2011 | Manohar Lal vs Vinesh Anand & Ors on 9 April, 2001",Motor Vehicles Act
7,C7_S8,15,"Companies Act, 1956","Ramesh Chandra Sharma vs Punjab National Bank & Anr | J_P_Srivastava_Sons_Pvt_Ltd_Ors_vs_M_S_Gwalior_Sugar_Co_Ltd_Ors_on_26_October_2004 | Vasudev Ramchandra Shelat vs Pranlal Jayanand Thakar And Ors on 17 July, 1974 | Ptc India Financial Services Ltd. vs Mr. Venkateshwarlu Kari on 12 May, 2022 | Chairman Cum Managing Director ... vs Sri Rabindranath Choubey","Companies Act, 1956"
7,C7_S9,14,S_Sundaram_Pillai_Etc_vs_V_R_Pattabiraman_Etc_on_24_January_1985,"S_Sundaram_Pillai_Etc_vs_V_R_Pattabiraman_Etc_on_24_January_1985 | Competition_Commission_Of_India_vs_Steel_Authority_Of_India_Anr_on_9_September_2010 | M/S Chordia Automobiles vs S. Moosa & Ors on 29 February, 2000 | Airports Economic Regulatory ... vs Delhi International Airport Ltd on 18 October, 2024 | Hukum Chand Deswal vs Satish Raj Deswal",S_Sundaram_Pillai_Etc_vs_V_R_Pattabiraman_Etc_on_24_January_1985
8,C8_S0,51,Income-tax Act,"Director Of Inspection Of Income ... vs Pooran Mal & Sons & Another on 20 September, 1974 | Vodafone International Holdings B.V vs Union Of India & Anr on 20 January, 2012 | Shrimant Padmaraje R. Kadambande vs Commissioner Of Income Tax, Pune on 22 April, 1992 | Engineering Analysis Centre Of ... vs The Commissioner Of Income Tax | Arjun Panditrao Khotkar vs Kailash Kushanrao Gorantyal",Income-tax Act
