doc_id,case,community,subcommunity,out_citations,in_citations
31392346,"Irfan @ Bhayu Mevati vs The State Of Madhya Pradesh on 16 January, 2025",0,1,1,0
683475,"D. P. Mishra vs Kamal Narain Sharma & Ors on 18 December, 1970",0,1,1,0
527065,"Acharaya Maharajshri ... vs The State Of Gujarat & Ors on 3 October, 1974",0,1,2,6
38328,"State Of Jammu & Kashmir And Others vs Thakur Ganga Singh And Another on 26 November, 1959",0,1,1,3
1460318,"Bangalore Medical Trust vs B.S. Muddappa And Ors on 19 July, 1991",0,1,1,10
134314390,"Dr. Subramanian Swamy And Ors vs Raju Thr.Member Juvenile Justice ... on 28 March, 2014",0,1,3,2
1306519,"M. P. Sharma And Others vs Satish Chandra, District ... on 15 March, 1954",0,1,0,15
71965246,Tehseen S. Poonawalla vs Union Of India,0,1,5,0
13080892,"Thwaha Fasal vs Union Of India on 28 October, 2021",0,1,3,1
194914590,"Umesh Kumar vs State Of A.P.And Anr on 6 September, 2013",0,1,11,10
175579179,Jeeja Ghosh & Anr vs Union Of India & Ors,0,1,0,7
1603336,1603336,0,1,10,12
538117,Tata Engineering And Locomotive Co Ltd vs State Of Bihar And Others on 25 February 1964,0,1,7,6
1508089,"Bijoe Emmanuel & Ors vs State Of Kerala & Ors on 11 August, 1986",0,1,1,9
541683,"Varkey Joseph vs State Of Kerala, Represented Bythe ... on 27 April, 1993",0,1,0,1
103640961,"Kaushal Kishor vs The State Of Uttar Pradesh Govt. Of U.P. ... on 3 January, 2023",0,1,46,0
1508889,"Arulayi Nadachi Selvi Ammal Nadachi ... vs Selvi Ammal Nadachi Maria Arulayi ... on 6 May, 1976",0,1,0,1
1490050,1490050,0,1,0,1
503795,Sree Bank Ltd vs Sarkar Dutt Roy And Co on 9 April 1965,0,1,1,0
93771079,"Ramesh Baghel vs State Of Chhattisgarh on 27 January, 2025",0,1,2,0
39021018,"Manohar Lal Sharma vs Union Of India on 27 October, 2021",0,1,1,0
713373,713373,0,1,3,6
1985056,"Magraj Patodia vs R. K. Birla And Ors on 10 September, 1970",0,1,0,4
83144198,Extra Judl.Exec.Victim Families ... vs Union Of India & Anr,0,1,10,2
172610348,Asian Resurfacing Of Road Agency P. Ltd. vs Central Bureau Of Investigation,0,1,3,4
199840380,"Narendra Champaklal Trivedi vs State Of Gujarat on 29 May, 2012",0,1,0,3
179868451,Amish Devgan vs Union Of India,0,1,10,5
14591172,Pooja Pal vs Union Of India And Ors,0,1,10,5
168671544,Navtej Singh Johar vs Union Of India Ministry Of Law And ...,0,1,27,7
116024620,Union Of India vs Moolchand Khairati Ram Trust,0,1,9,1
37541448,"Samaj Parivartana Samudaya & Ors vs State Of Karnataka & Ors on 18 April, 2013",0,1,2,3
1204394,1204394,0,1,0,1
48113,"Chhotan Prasad Singh & Ors vs Hari Dusadh & Ors on 24 November, 1976",0,1,0,1
