doc_id,case,community,subcommunity,out_citations,in_citations
37517217,"Thalappalam Ser.Coop.Bank Ltd.& Ors vs State Of Kerala & Ors on 7 October, 2013",0,1,6,2
1190717,"State Of Himachal Pradesh & Anr vs Umed Ram Sharma & Ors on 11 February, 1986",0,1,0,5
964239,"Roop Singh And Others vs The State Of Punjab on 28 August, 1973",0,1,1,0
184449972,Common Cause (A Regd. Society) vs Union Of India,0,1,16,14
388295,"Naraindas Indurkhya vs The State Of Madhya Pradesh & Ors on 18 March, 1974",0,1,5,2
802267,S Pratap Singh vs The State Of Punjab on 2 September 1963,0,1,3,10
24661153,"Dr.Mehmood Nayyar Azam vs State Of Chattisgarh And Ors on 3 August, 2012",0,1,2,7
169684843,"Ashok Kumar vs Smt. Raj Gupta on 1 October, 2021",0,1,1,0
80109,"Railway Board, Representing The Union ... vs Niranjan Singh on 4 February, 1969",0,1,0,1
766560,State Of Madhya Pradesh Anr vs Thakur Bharat Singh on 23 January 1967,0,1,1,15
509065,509065,0,1,1,3
44591,B Shankara Rao Badami Ors vs State Of Mysore Anr on 4 December 1968,0,1,2,3
539407,"The Secretary, Ministry Of Information ... vs Cricket Association Of Bengal & Anr on 9 February, 1995",0,1,1,10
114998825,"Kerala State Co-Operative ... vs The Assessing Officer, Trivandrum on 14 September, 2023",0,1,1,0
1679791,1679791,0,1,0,2
1310955,"Maganbhai Ishwarbhai Patel vs Union Of India And Anr on 9 January, 1969",0,1,2,5
959860,"Ram Singh vs The State Of Delhi And Anotherbalraj ... on 6 April, 1951",0,1,2,7
829084,"Shrimati Vidya Verma, Through Next ... vs Dr. Shiv Narain Verma on 11 November, 1955",0,1,1,3
450953,"Madhu Kishwar & Ors. Etc vs State Of Bihar & Ors on 17 April, 1996",0,1,5,5
796217,"R.P. Kapur And Others vs Sardar Pratap Singh Kairon And Others on 28 October, 1960",0,1,0,1
1200243,"Abdul Rehman Antulay & Ors vs R.S. Nayak & Anr on 10 December, 1991",0,1,1,7
165099707,"Additional District Magistrate, ... vs Shivakant Shukla on 28 April, 1976",0,1,31,11
334293,"The State Of Bombay And Another vs F.N. Balsara on 25 May, 1951",0,2,1,38
