source,target
1662637,1775619
341611,1964203
341611,1214974
341611,1386765
246146,592403
1201722,117355
1201722,1275416
1009476,1311858
1009476,1319678
1009476,472343
1009476,911769
503795,103959
503795,322645
503795,1809303
503795,700854
1960099,1355522
1009489,1206641
1009489,1684174
1009489,1098573
1009489,348269
1319210,242776
1319210,303796
1319210,921511
1319210,165861
1076589,1261287
1076589,1155563
1076589,19878
1076589,781858
1609169,251775
1609169,773596
216183,548055
1705218,1910029
1705218,818183
1331666,1367601
1331666,1425329
1512520,1247597
1512520,45934
1512520,1223652
1512520,1396529
1512520,1504707
1512520,1865901
1512520,608874
1512520,424874
1512520,1706770
1512520,516732
1512520,584756
1512520,460379
292369,591555
292369,1186097
292369,1574176
292369,1819252
292369,1275399
44067034,591555
44067034,1186097
44067034,1574176
44067034,1819252
44067034,1275399
44067034,12783
1369777,157067
125847,1457646
131435468,1983017
131435468,849004
1704974,1983017
1704974,849004
300557,1477080
300557,318186
300557,1961694
300557,823952
838326,1285084
838326,1164175
838326,240141
838326,1270973
838326,1770635
1267551,1148062
1267551,1200140
1267551,82058
1267551,841670
1267551,1733204
1267551,1130721
1267551,389716
84160721,1477080
84160721,318186
84160721,1961694
84160721,823952
1211653,1827191
1904168,1294884
1904168,781769
284811,1355522
284811,380565
284811,41574
284811,463201
32824,154460642
32824,1882646
32824,1409644
401087,1748681
967055,789926
930051,568069
930051,558704
24014437,525017
263196,525017
1199934,331677
1121128,1425329
1457428,125646
1457428,277596
399872,117326
399872,1711193
399872,1902501
399872,73877
325729,1386411
325729,617376
325729,281138
325729,481911
325729,927578
325729,1211267
400921,1247225
400921,621373
400921,1194732
400921,327940
400921,492856
400921,468946
400921,1412242
400921,75190
400921,1095533
400921,1154741
400921,182115
400921,1158572
1553220,1890797
1553220,856413
1553220,525017
1553220,318186
1553220,1778243
1936500,125853
1936500,1322967
475851,1948618
582191,17389
568978,91421
568978,1732205
266150,1132891
266150,32821
493792,1157189
1662811,1586690
1662811,101670
1662811,21381
1662811,1630848
1662811,556192
1890075,1961694
1890075,791276
1890075,132533
1890075,197048
1890075,732821
534533,1510186
534533,38559
534533,1888918
212063,1536600
212063,463201
1051720,1731367
1051720,1825776
1051720,1667560
887029,1017689
887029,426664
887029,1237708
887029,1651004
887029,1048520
518986,732851
518986,1254433
67600325,331677
669219,101302
669219,128752
669219,790835
669219,1282348
669219,1270230
981787,275120
1218536,677318
1649431,946004
1649431,576158
1649431,1402024
1649431,490643
376217,1819721
376217,748727
376217,512987
1643138,1857950
1643138,243002
1643138,1157189
1643138,1507940
57490,804314
224012,1954356
224012,1048586
224012,1528958
947792,154562
947792,676374
947792,411221
1042021,1606165
1042021,1122405
1999892,547279
1999892,1681028
35662889,1536600
35662889,1832450
35662889,1597147
35662889,1681131
35662889,89235
1701068,1536600
1701068,89235
1701068,1832450
1701068,1681131
1701068,1597147
185293,246020
185293,1372854
744798,1099676
744798,1285332
744798,570271
744798,808032
744798,712724
744798,178776
1012429,1703849
1012429,1853311
1012429,900028
1012429,142305
