case,source_doc_id,title,court,date,numcites_api,numcitedby_api,citations_count,error
M_S_Ultra_Tech_Cement_Limited_vs_Mast_Ram_on_20_September_2024,180815970,"M/S Ultra Tech Cement Limited vs Mast Ram on 20 September, 2024",Supreme Court of India,2024-09-20,25,0,25,
Maharaj_Singh_vs_Karan_Singh_Dead_on_9_July_2024,49765734,"Maharaj Singh vs Karan Singh (Dead) on 9 July, 2024",Supreme Court of India,2024-07-09,25,0,25,
Mallavva_vs_Kalsammanavara_Kalamma_Since_Dead_By_on_20_December_2024,47340491,"Mallavva vs Kalsammanavara Kalamma (Since Dead) By ... on 20 December, 2024",Supreme Court of India,2024-12-20,35,0,35,
Manik_vs_The_State_Of_Maharashtra_on_25_September_2024,199957261,"Manik vs The State Of Maharashtra on 25 September, 2024",Supreme Court of India,2024-09-25,51,0,51,
Mansoorsaheb_Dead_vs_Salima_D_By_Lrs_on_19_December_2024,56175783,"Mansoorsaheb (Dead) vs Salima (D) By Lrs. on 19 December, 2024",Supreme Court of India,2024-12-19,24,0,24,
Mariam_Fasihuddin_vs_State_By_Adugodi_Police_Station_on_22_January_2024,46624250,"Mariam Fasihuddin vs State By Adugodi Police Station on 22 January, 2024",Supreme Court of India,2024-01-22,21,0,21,
Md_Rahim_Ali_Abdur_Rahim_vs_The_State_Of_Assam_on_11_July_2024,45469621,"Md. Rahim Ali @ Abdur Rahim vs The State Of Assam on 11 July, 2024",Supreme Court of India,2024-07-11,53,0,53,
Mineral_Area_Development_Authority_Etc_vs_M_S_Steel_Authority_Of_India_on_25_July_2024,179331686,"Mineral Area Development Authority Etc vs M/S Steel Authority Of India on 25 July, 2024",Supreme Court of India,2024-07-25,184,0,184,
Mrugendra_Indravadan_Mehta_vs_Ahmedabad_Municipal_Corporation_on_10_May_2024,79931729,"Mrugendra Indravadan Mehta vs Ahmedabad Municipal Corporation on 10 May, 2024",Supreme Court of India,2024-05-10,67,0,67,
Mukesh_vs_The_State_Of_Madhya_Pradesh_on_20_December_2024,25181691,"Mukesh vs The State Of Madhya Pradesh on 20 December, 2024",Supreme Court of India,2024-12-20,33,0,33,
Mukund_Bhavan_Trust_vs_Shrimant_Chhatrapati_Udayan_Raje_on_20_December_2024,159675077,"Mukund Bhavan Trust vs Shrimant Chhatrapati Udayan Raje ... on 20 December, 2024",Supreme Court of India,2024-12-20,43,0,43,
Mulakala_Malleshwara_Rao_vs_The_State_Of_Telangana_on_29_August_2024,119614018,"Mulakala Malleshwara Rao vs The State Of Telangana on 29 August, 2024",Supreme Court of India,2024-08-29,19,0,19,
Municipal_Corporation_Of_Greater_vs_Vivek_V_Gawde_on_13_December_2024,94773424,"Municipal Corporation Of Greater ... vs Vivek V. Gawde on 13 December, 2024",Supreme Court of India,2024-12-13,39,0,39,
Murari_Lal_Chhari_vs_Munishwar_Singh_Tomar_on_4_March_2024,153632071,"Murari Lal Chhari vs Munishwar Singh Tomar on 4 March, 2024",Supreme Court of India,2024-03-04,16,0,16,
Nabha_Power_Limited_vs_Punjab_State_Power_Corporation_Ltd_on_5_November_2024,63847817,"Nabha Power Limited vs Punjab State Power Corporation Ltd on 5 November, 2024",Supreme Court of India,2024-11-05,34,0,34,
Najmunisha_Etc_vs_The_State_Of_Gujarat_on_9_April_2024,9781569,"Najmunisha Etc vs The State Of Gujarat on 9 April, 2024",Supreme Court of India,2024-04-09,47,0,47,
Nara_Chandrababu_Naidu_vs_The_State_Of_Andhra_Pradesh_on_16_January_2024,80952742,"Nara Chandrababu Naidu vs The State Of Andhra Pradesh on 16 January, 2024",Supreme Court of India,2024-01-16,70,0,70,
Naresh_Kumar_vs_State_Of_Haryana_on_22_February_2024,45193494,"Naresh Kumar vs State Of Haryana on 22 February, 2024",Supreme Court of India,2024-02-22,18,0,18,
National_Investigation_Agency_New_vs_Owais_Amin_Cherry_on_17_May_2024,118944886,"National Investigation Agency New ... vs Owais Amin @ Cherry on 17 May, 2024",Supreme Court of India,2024-05-17,36,0,36,
Navin_Kumar_Rai_vs_Surendra_Singh_on_14_February_2024,97861774,"Navin Kumar Rai vs Surendra Singh on 14 February, 2024",Supreme Court of India,2024-02-14,19,0,19,
Navneet_Kaur_Harbhajansing_Kundles_vs_The_State_Of_Maharashtra_on_4_April_2024,168942708,"Navneet Kaur Harbhajansing Kundles @ ... vs The State Of Maharashtra on 4 April, 2024",Supreme Court of India,2024-04-04,26,0,26,
Neelam_Gupta_vs_Rajendra_Kumar_Gupta_on_14_October_2024,55625533,"Neelam Gupta vs Rajendra Kumar Gupta on 14 October, 2024",Supreme Court of India,2024-10-14,23,0,23,
Neeraj_Sharma_vs_The_State_Of_Chhattisgarh_on_3_January_2024,35927235,"Neeraj Sharma vs The State Of Chhattisgarh on 3 January, 2024",Supreme Court of India,2024-01-03,27,0,27,
Nenavath_Bujji_vs_The_State_Of_Telangana_on_21_March_2024,157064185,"Nenavath Bujji vs The State Of Telangana on 21 March, 2024",Supreme Court of India,2024-03-21,34,0,34,
New_Okhla_Industrial_Development_vs_Darshan_Lal_Bohra_on_10_July_2024,159695469,"New Okhla Industrial Development ... vs Darshan Lal Bohra on 10 July, 2024",Supreme Court of India,2024-07-10,48,0,48,
New_Okhla_Industrial_Development_vs_Harnand_Singh_Deceased_Thr_Lrs_on_10_July_2024,100693898,"New Okhla Industrial Development ... vs Harnand Singh (Deceased) Thr. Lrs on 10 July, 2024",Supreme Court of India,2024-07-10,25,0,25,
Nisar_Ahmad_vs_Sami_Ullah_Dead_Through_Lrs_on_24_October_2024,147869005,"Nisar Ahmad vs Sami Ullah (Dead) Through Lrs on 24 October, 2024",Supreme Court of India,2024-10-24,22,0,22,
Noble_M_Paikada_vs_Union_Of_India_on_21_March_2024,96867209,"Noble M Paikada vs Union Of India on 21 March, 2024",Supreme Court of India,2024-03-21,12,0,12,
Noida_Toll_Bridge_Company_Ltd_vs_Federation_Of_Noida_Residents_Welfare_on_20_December_2024,138675220,"Noida Toll Bridge Company Ltd vs Federation Of Noida Residents Welfare ... on 20 December, 2024",Supreme Court of India,2024-12-20,47,0,47,
Nusrat_Parween_vs_The_State_Of_Jharkhand_on_10_December_2024,177209252,"Nusrat Parween vs The State Of Jharkhand on 10 December, 2024",Supreme Court of India,2024-12-10,22,0,22,
Opg_Power_Generation_Private_Limited_vs_Enexio_Power_Cooling_Solutions_India_on_20_September_2024,147916054,"Opg Power Generation Private Limited vs Enexio Power Cooling Solutions India ... on 20 September, 2024",Supreme Court of India,2024-09-20,105,0,105,
P_Ravindranath_vs_Sasikala_on_15_July_2024,168460564,"P. Ravindranath vs Sasikala on 15 July, 2024",Supreme Court of India,2024-07-15,26,0,26,
Parswanath_Saha_vs_Bandhana_Modak_Das_on_20_December_2024,181848494,"Parswanath Saha vs Bandhana Modak (Das) on 20 December, 2024",Supreme Court of India,2024-12-20,21,0,21,
Pathapati_Subba_Reddy_Died_By_Lrs_And_vs_Special_Deputy_Collector_La_on_8_April_2024,115839893,"Pathapati Subba Reddy (Died) By Lrs And ... vs Special Deputy Collector (La) on 8 April, 2024",Supreme Court of India,2024-04-08,18,0,18,
Pawapuri_Rice_Mills_vs_Bihar_State_Food_And_Civil_Supplies_on_18_December_2024,106235319,"Pawapuri Rice Mills vs Bihar State Food And Civil Supplies ... on 18 December, 2024",Supreme Court of India,2024-12-18,19,0,19,
Payal_Sharma_vs_State_Of_Punjab_on_26_November_2024,101620228,"Payal Sharma vs State Of Punjab on 26 November, 2024",Supreme Court of India,2024-11-26,15,0,15,
Prabhat_Kumar_Mishra_Prabhat_Mishra_vs_The_State_Of_U_P_on_5_March_2024,72472223,"Prabhat Kumar Mishra @ Prabhat Mishra vs The State Of U.P. on 5 March, 2024",Supreme Court of India,2024-03-05,18,0,18,
Prabir_Purkayastha_vs_State_Nct_Of_Delhi_on_15_May_2024,17476648,"Prabir Purkayastha vs State (Nct Of Delhi) on 15 May, 2024",Supreme Court of India,2024-05-15,30,0,30,
Prakash_vs_The_State_Of_Maharashtra_on_20_December_2024,61341909,"Prakash vs The State Of Maharashtra on 20 December, 2024",Supreme Court of India,2024-12-20,27,0,27,
Prashant_vs_State_Of_Nct_Of_Delhi_on_20_November_2024,106203757,"Prashant vs State Of Nct Of Delhi on 20 November, 2024",Supreme Court of India,2024-11-20,18,0,18,
Priti_Agarwalla_vs_The_State_Of_Gnct_Of_Delhi_on_17_May_2024,82099316,"Priti Agarwalla vs The State Of Gnct Of Delhi on 17 May, 2024",Supreme Court of India,2024-05-17,56,0,56,
Property_Owners_Association_vs_State_Of_Maharashtra_on_5_November_2024,114205571,"Property Owners Association vs State Of Maharashtra on 5 November, 2024",Supreme Court of India,2024-11-05,156,0,156,
Puneet_Sabharwal_vs_Cbi_on_19_March_2024,37053509,"Puneet Sabharwal vs Cbi on 19 March, 2024",Supreme Court of India,2024-03-19,31,0,31,
Rajesh_Kumar_vs_Anand_Kumar_on_17_May_2024,95990979,"Rajesh Kumar vs Anand Kumar on 17 May, 2024",Supreme Court of India,2024-05-17,21,0,21,
Rajesh_Mitra_Rajesh_Kumar_Mitra_vs_Karnani_Properties_Limited_on_20_September_2024,168067112,"Rajesh Mitra @ Rajesh Kumar Mitra vs Karnani Properties Limited on 20 September, 2024",Supreme Court of India,2024-09-20,24,0,24,
Ramachandra_Reddy_Dead_Thr_Lrs_vs_Ramulu_Ammal_Dead_Thr_Lrs_on_14_November_2024,180764019,"Ramachandra Reddy (Dead) Thr. Lrs vs Ramulu Ammal (Dead) Thr. Lrs on 14 November, 2024",Supreme Court of India,2024-11-14,15,0,15,
Ramachandran_vs_Vijayan_on_22_November_2024,56824826,"Ramachandran vs Vijayan on 22 November, 2024",Supreme Court of India,2024-11-22,20,0,20,
Ramakant_Ambalal_Choksi_vs_Harish_Ambalal_Choksi_on_22_November_2024,96843741,"Ramakant Ambalal Choksi vs Harish Ambalal Choksi on 22 November, 2024",Supreme Court of India,2024-11-22,26,0,26,
Ramji_Lal_Bairwa_vs_The_State_Of_Rajasthan_on_7_November_2024,96784692,"Ramji Lal Bairwa vs The State Of Rajasthan on 7 November, 2024",Supreme Court of India,2024-11-07,37,0,37,
Ramratan_Ramswaroop_vs_The_State_Of_Madhya_Pradesh_on_25_October_2024,37499401,"Ramratan@Ramswaroop vs The State Of Madhya Pradesh on 25 October, 2024",Supreme Court of India,2024-10-25,18,0,18,
Ravikumar_Dhansukhlal_Maheta_vs_High_Court_Of_Gujarat_on_17_May_2024,14645738,"Ravikumar Dhansukhlal Maheta vs High Court Of Gujarat on 17 May, 2024",Supreme Court of India,2024-05-17,71,0,71,
Rinku_Baheti_vs_Sandesh_Sharda_on_19_December_2024,64157726,"Rinku Baheti vs Sandesh Sharda on 19 December, 2024",Supreme Court of India,2024-12-19,67,0,67,
Rohit_Kochhar_vs_Vipul_Infrastructure_Developers_Ltd_on_26_November_2024,105826983,"Rohit Kochhar vs Vipul Infrastructure Developers Ltd on 26 November, 2024",Supreme Court of India,2024-11-26,31,0,31,
S_Tirupathi_Rao_vs_M_Lingamaiah_on_22_July_2024,93432083,"S Tirupathi Rao vs M Lingamaiah on 22 July, 2024",Supreme Court of India,2024-07-22,45,0,45,
S_V_Samudram_vs_The_State_Of_Karnataka_on_4_January_2024,132816645,"S.V. Samudram vs The State Of Karnataka on 4 January, 2024",Supreme Court of India,2024-01-04,36,0,36,
