parent_community,subcommunity_id,size,top_label,top_global_pr,top5_labels,avg_in_degree,top_betweenness_label
0,C0_S22.0,35,"Lucknow Development Authority vs M.K. Gupta on 5 November, 1993",0.00030812,"Lucknow Development Authority vs M.K. Gupta on 5 November, 1993 | Express_Newspapers_Pvt_Ltd_Ors_vs_Union_Of_India_Ors_on_7_October_1985 | Indian_Express_Newspapers_Bombay_vs_Union_Of_India_Ors_Etc_Etc_on_6_December_1984 | State_Of_Bombay_Now_Gujarat_vs_Memon_Mahomed_Haji_Hasam_on_5_May_1967 | Asstt. Excise Commissioner vs Issac Peter on 22 February, 1994",5.5,"M.C. Mehta And Anr vs Union Of India & Ors on 20 December, 1986"
0,C0_S0.0,32,Olga_Tellis_Ors_vs_Bombay_Municipal_Corporation_Ors_Etc_on_10_July_1985,0.00026703,"Olga_Tellis_Ors_vs_Bombay_Municipal_Corporation_Ors_Etc_on_10_July_1985 | Sodan Singh Etc. Etc vs New Delhi Municipal Committee & Anr. Etc on 30 August, 1989 | K_Rajendran_Ors_Etc_Etc_vs_State_Of_Tamil_Nadu_Ors_on_15_April_1982 | Workmen_Of_Meenakshi_Mills_Ltd_Etc_Etc_vs_Meenakshi_Mills_Ltd_And_Anr_Etc_Etc_on_15_May_1992 | Tilokchand Motichand & Ors vs H.B. Munshi & Anr on 22 November, 1968",4.8,Samatha_vs_State_Of_Andhra_Pradesh_And_Ors_on_11_July_1997
0,C0_S27.0,32,Swami_Motor_Transport_P_Ltd_And_vs_Sri_Sankaraswamigal_Muttand_on_26_September_1962,0.00035177,"Swami_Motor_Transport_P_Ltd_And_vs_Sri_Sankaraswamigal_Muttand_on_26_September_1962 | Damyanti Naranga vs The Union Of India And Others on 23 February, 1971 | Rustom Cavasjee Cooper vs Union Of India on 10 February, 1970 | Rohtas Industries Ltd vs S.D. Agarwal & Anr on 16 December, 1968 | The_State_Trading_Corporation_Of_India_vs_The_Commercial_Tax_Officer_on_26_July_1963",4.8,"Rustom Cavasjee Cooper vs Union Of India on 10 February, 1970"
0,C0_S30.0,29,"Samant N. Balakrishna Etc vs George Fernandez And Ors. Etc on 12 February, 1969",6.737e-05,"Samant N. Balakrishna Etc vs George Fernandez And Ors. Etc on 12 February, 1969 | Government Of Andhra Pradesh & Anr vs Hindustan Machine Tools Ltd on 1 May, 1975 | State_Of_West_Bengal_vs_Union_Of_India_on_21_December_1962 | State Of Madhya Pradesh And Anr vs G.S. Dall And Flour Mills on 19 September, 1990 | The_State_Of_Tamil_Nadu_vs_M_S_Arooran_Sugars_Ltd_on_31_October_1996",4.0,"Samant N. Balakrishna Etc vs George Fernandez And Ors. Etc on 12 February, 1969"
0,C0_S34.0,28,"Twentieth Century Finance Corpn.Ltd.& ... vs State Of Maharashtra on 9 May, 2000",9.096e-05,"Twentieth Century Finance Corpn.Ltd.& ... vs State Of Maharashtra on 9 May, 2000 | Builders Association Of India & Ors. ... vs Union Of India & Ors. Etc. Etc on 31 March, 1989 | Hindustan_Aeronautics_Limited_vs_State_Of_Karnataka_on_16_December_1983 | M/S. Rainbow Colour Lab & Anr vs The State Of Madhya Pradesh & Ors on 2 February, 2000 | Indian_Steel_Wire_Products_Ltd_vs_State_Of_Madras_on_11_September_1967",2.9,"Twentieth Century Finance Corpn.Ltd.& ... vs State Of Maharashtra on 9 May, 2000"
0,C0_S36.0,22,Bangalore_Water_Supply_Sewerage_vs_R_Rajappa_Others_on_21_February_1978,7.79e-05,"Bangalore_Water_Supply_Sewerage_vs_R_Rajappa_Others_on_21_February_1978 | Central Bank Of India vs S.Satyam & Ors on 31 July, 1996 | Secretary_Madras_Gymkhana_Club_vs_Management_Of_The_Gymkhana_Club_on_3_October_1967 | Management Of Safdarjung Hospital, New ... vs Kuldip Singh Sethi (With Connected ... on 1 April, 1970 | Cricket_Club_Of_India_Ltd_vs_The_Bombay_Labour_Union_Another_on_7_August_1968",2.0,Bangalore_Water_Supply_Sewerage_vs_R_Rajappa_Others_on_21_February_1978
0,C0_S7.0,21,Naresh_Shridhar_Mirajkar_And_Ors_vs_State_Of_Maharashtra_And_Anr_on_3_March_1966,7.198e-05,"Naresh_Shridhar_Mirajkar_And_Ors_vs_State_Of_Maharashtra_And_Anr_on_3_March_1966 | Sri Adi Visheshwara Of Kashi Vishwanath ... vs State Of U.P. And Ors on 14 March, 1997 | State Of Rajasthan And Ors vs Sajjanlal Panjawat & Ors on 14 December, 1973 | Gulam_Abbas_Ors_vs_State_Of_U_P_Ors_on_3_November_1981 | Sardar_Syedna_Taher_Saifuddin_Saheb_vs_The_State_Of_Bombay_on_9_January_1962",4.3,"Sri Adi Visheshwara Of Kashi Vishwanath ... vs State Of U.P. And Ors on 14 March, 1997"
0,C0_S35.0,19,"Har Shankar & Ors. Etc. Etc vs The Dy. Excise & Taxation Commr. & Ors on 21 January, 1975",0.00018981,"Har Shankar & Ors. Etc. Etc vs The Dy. Excise & Taxation Commr. & Ors on 21 January, 1975 | Maganlal Chhagganlal (P) Ltd vs Municipal Corporation Of Greater ... on 11 April, 1974 | State Of U.P. And Anr vs M/S. Synthetics And Chemicals Ltd. And ... on 18 July, 1991 | Northern_India_Caterers_Private_Ltd_vs_State_Of_Punjab_And_Another_on_4_April_1967 | Vijay Mills Company Limited Etc., Etc. vs State Of Gujarat And Others on 4 December, 1992",5.8,"Maganlal Chhagganlal (P) Ltd vs Municipal Corporation Of Greater ... on 11 April, 1974"
0,C0_S28.0,16,"Balabhagas Hulaschand vs State Of Orissa on 9 December, 1975",8.594e-05,"Balabhagas Hulaschand vs State Of Orissa on 9 December, 1975 | M_S_Sahney_Steel_And_Pressworks_Ltd_vs_The_Commercial_Tax_Officer_Ors_on_10_September_1985 | Union_Of_India_Anr_vs_K_G_Khosla_Co_P_Ltd_Others_on_6_March_1979 | Tata_Engineering_And_Locomotive_vs_Assistant_Commissioner_Of_Commercial_on_24_February_1967 | State Of Bihar & Anr vs Tata Engineering & Locomotive Co. Ltd on 27 November, 1970",1.9,"Balabhagas Hulaschand vs State Of Orissa on 9 December, 1975"
0,C0_S23.0,11,Delhi_Cloth_General_Mills_Co_Ltd_vs_Workmen_And_Ors_Etc_on_27_September_1968,8.09e-06,Delhi_Cloth_General_Mills_Co_Ltd_vs_Workmen_And_Ors_Etc_on_27_September_1968 | Rai_Bahadur_Diwan_Badri_Das_vs_The_Industrial_Tribunal_Punjab_on_7_September_1962 | M_S_British_Paints_India_Ltd_vs_Its_Workmen_on_4_November_1965 | Management_Of_Wenger_Co_vs_Their_Workmen_And_Vice_Versa_on_11_December_1962 | Calcutta_Insurance_Co_Ltd_vs_Their_Workmen_on_6_February_1967,1.6,Rai_Bahadur_Diwan_Badri_Das_vs_The_Industrial_Tribunal_Punjab_on_7_September_1962
