case,year,link,downloaded file
The_State_Of_Bihar_vs_Maharajadhiraja_Sir_Kameshwar_Singh_Of_on_2_May_1952,1952,http://indiankanoon.org/doc/49043/,https://drive.google.com/file/d/1E32ZDZKimeCsWe2YL9YVx514xkOA-c1c/view
The_State_Of_Bihar_vs_Maharajadhiraja_Sir_Kameshwar_Singhof_on_27_May_1952,1952,http://indiankanoon.org/doc/41868/,https://drive.google.com/file/d/1-SJr492X8UC2y3GmnqR6i8m-NsJzImYj/view
The_State_Of_West_Bengal_vs_Anwar_Ali_Sarkar_on_11_January_1952,1952,http://indiankanoon.org/doc/184660633/,https://drive.google.com/file/d/1z5z71fOr-KekdNtO9Upi07TrlzVcojLz/view
The_State_Of_West_Bengal_vs_Anwar_All_Sarkarhabib_Mohamed_The_on_11_January_1952,1952,http://indiankanoon.org/doc/1270239/,https://drive.google.com/file/d/1eLTxk6vBfMAWXTQXP75ujzRkaSVjbN_J/view
The_Union_Of_India_Uoi_vs_Hira_Devi_And_Anr_on_21_May_1952,1952,http://indiankanoon.org/doc/162808894/,https://drive.google.com/file/d/1eW3FCrS6MfmMjv4PXu_N9kPIn-nxb5ge/view
The_Union_Of_India_vs_Hira_Devi_And_Another_on_21_May_1952,1952,http://indiankanoon.org/doc/286232/,https://drive.google.com/file/d/1Bl75dFam_dObNDLCZrz3OSCAG1rvv96A/view
Visweshwar_Rao_vs_The_State_Of_Madhya_Pradesh_And_Other_on_27_May_1952,1952,http://indiankanoon.org/doc/45759/,https://drive.google.com/file/d/1doUfRZP-39JvMhdWD6oatOwvY0kJdZ-H/view
Visweshwar_Rao_vs_The_State_Of_Madhya_Pradesh_on_2_May_1952,1952,http://indiankanoon.org/doc/217259/,https://drive.google.com/file/d/1f9AFgeC-0nBuWABBY2IWGTalzQAOt5x9/view
Atherton_West_Co_Ltd_vs_Suti_Mill_Mazdoor_Union_And_Others_on_16_March_1953,1953,http://indiankanoon.org/doc/1599768/,https://drive.google.com/file/d/1v3H2_xW-1dVH50djRb6CXQz3oBnd69QN/view
Bejoy_Gopal_Mukherji_vs_Pratul_Chandra_Ghose_on_28_January_1953,1953,http://indiankanoon.org/doc/1840988/,https://drive.google.com/file/d/1aQdnyW_HbYoU8yjCRYYvCWz-gD4poVbv/view
Biswambhar_Singh_vs_The_State_Of_Orissa_And_on_18_December_1953,1953,http://indiankanoon.org/doc/1392212/,https://drive.google.com/file/d/1r2oOFtRtDuObVoOS1RcJjhbr8krtegOU/view
Central_National_Bank_Ltd_vs_United_Industrial_Bank_Ltd_on_26_November_1953,1953,http://indiankanoon.org/doc/1138502/,https://drive.google.com/file/d/1VQm_N8T1t-bH_U4K5qNM35GnIYdJQaKG/view
Chilukuri_Venkateswarlu_vs_Chilukuri_Venkatanarayana_on_8_December_1953,1953,http://indiankanoon.org/doc/782122/,https://drive.google.com/file/d/18iCcAxMTYZo4qwD1lw_RsE8oTY1NOuT2/view
Commissioner_Of_Income_Tax_Madras_vs_K_R_M_T_T_Thiagaraja_Chetty_Co_on_14_October_1953,1953,http://indiankanoon.org/doc/970796/,https://drive.google.com/file/d/1oFbkYNMDXAwC6_t2VLvCJW28Md-AOfVB/view
Commissioner_Of_Income_Tax_vs_Kikabhai_Premchand_on_9_October_1953,1953,http://indiankanoon.org/doc/1740173/,https://drive.google.com/file/d/1q5hb_Otp-Q0wtImX2qBffu2U2Abvv2Di/view
Commissioner_Of_Income_Taxbombay_City_vs_Royal_Western_India_Turf_Club_Ltd_on_26_October_1953,1953,http://indiankanoon.org/doc/1205495/,https://drive.google.com/file/d/1vXU0cIgtl41A_jQrQe9fR6Zn1lSoUHlI/view
Dalip_Singh_And_Others_vs_State_Of_Punjab_on_15_May_1953,1953,http://indiankanoon.org/doc/770422/,https://drive.google.com/file/d/1k2me7Djw57E4PCGGcihzu6uu4UiXfCNB/view
Deputy_Commissioner_Hardoi_vs_Rama_Krishna_Narain_And_Others_on_8_October_1953,1953,http://indiankanoon.org/doc/1601578/,https://drive.google.com/file/d/1gm9K6N-lyuzuGYwjVqfwzIsNBpFJmp4s/view
Dunichand_Hakim_And_Others_vs_Deputy_Commissioner_Deputy_Custodian_on_18_December_1953,1953,http://indiankanoon.org/doc/1665121/,https://drive.google.com/file/d/12a0xmmc_YYAUuqGg8-PcKCl3kEbcwvtO/view
Flection_Commission_India_vs_Saka_Venkata_Subba_Raounion_Of_on_27_February_1953,1953,http://indiankanoon.org/doc/107472/,https://drive.google.com/file/d/1befpxMTDSkQtoJKf0SC2qr1UosOzXjy-/view
