rank,entity,count,doc_freq,ent_type,std_name,role,topic,nonambiguous,informative,notes,example
68,oil and natural gas commission,55,1,ORG,Oil And Natural Gas Commission,ACTOR,,1,informative,,"Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 COURT 1851, 1991 SCW 1900, 1990 (SUPP) 397, (2001) 2 UC 270, (1990) 2 COMLJ 89, (SC) Bench: N.D. Ojha, Jagdish Saran Verma OIL AND NATURAL GAS COM"
69,padmasani,55,1,PERSON,Padmasani,ACTOR,,1,informative,,"She was survived by her daughter Padmasani, who was married to Rajagopala Iyengar (P. W. 1)."
70,bench,53,30,PERSON,Bench,ACTOR,,1,informative,,"In Madhu Limaye v. The State of Maharashtra , a three-Judge Bench of this court held as under:- ""....."
71,state commission,53,5,ORG,State Commission,ACTOR,,1,informative,,The Bank preferred an appeal to the State Commission.
72,chief justice of india,53,3,ORG,Chief Justice Of India,ACTOR,,1,informative,,"Under cl (4) where such directions are given and ""costs have been incurred in excess of those which would have been incurred in the discharge of the normal duties of the State if such direction had not been given,"" the Government of India m"
73,s. 42,53,1,PERSON,S. 42,ACTOR,,1,informative,,"Respondent No. 2 to whom these plots had been given on repartition moved the State Government under s. 42 to revise the order made by Shri Brar, and the State Government set aside the order of Shri Brar and restored that of the Consolidatio"
74,state of tamil nadu,52,8,ORG,State Of Tamil Nadu,ACTOR,,1,informative,,"In support of his contention, he very much relied on the recent decision of this Court in Rekha vs. State of Tamil Nadu ."
75,magistrate,51,13,ORG,Magistrate,ACTOR,,1,informative,,"(2) Where the allegations in the first information report and other materials, if any, accompanying the FIR do not disclose a cognizable offence, justifying an investigation by police officers under Section 156(1) of the Code except under a"
76,civil)#appeal,51,1,ORG,Civil)#Appeal,,,0,non-informative,,"Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622#4051#P. VENKATARAMA REDDI#Dr."
77,institute,51,1,ORG,Institute,ACTOR,,1,informative,,It was noted that some of the MAFs are active in India and are rendering services which are provided by CAs without registration with the Institute.
78,section 7 of the code,51,1,LAW,Section 7 Of The Code,RULE,,1,informative,,"This appeal under Section 62 of the Insolvency and Bankruptcy Code, 20161 is directed against the judgment and order dated 14.05.2019 passed by the National Company Law Appellate Tribunal, New Delhi 2 in Company Appeal (AT) Insolvency No. 5"
79,west bengal,50,17,GPE,West Bengal,EVIDENCE,,1,informative,,"[1966] 3 ; Commissioner of Income Tax, West Bengal, Calcutta v. Juggilal Kamalapat,"
80,company,50,12,ORG,Company,ACTOR,,1,informative,,It appears that the Liquidators expected to wind up the affairs of the Company within a period of five months from the execution of the Sale Deed and to distribute the 1936 shares or such part thereof as remained with them after they had ex
81,clause,50,7,ORG,Clause,ACTOR,,1,informative,,"The sale deed was actually executed on 18-4-1954, and the five months period provided in Clause (5) expired on 18-9-1954."
82,lalmuni devi,50,1,PERSON,Lalmuni Devi,ACTOR,,1,informative,,"Lalmuni Devi, mother of deceased Rajendra Rai abducted ten days before the date fixed for recording her statement."
83,madras,48,14,LOC,Madras,EVIDENCE,,1,informative,,The decision in the Nagpur case was followed in Madras and it was held that the endorsement to the effect that the consignment was 'said to contain' a certain number of bags did not amount to any admission on the part of the railway adminis
84,paigah,48,1,PERSON,Paigah,ACTOR,,1,informative,,The dispute on hand relates to a Paigah granted to a person by name Khurshid Jah and the grant came to be known as Khurshid Jah Paigah.
85,ex,46,9,ORG,Ex,ACTOR,,1,informative,,The recovery memoranda is Ex. PU/1.
86,shyamala raju,46,1,PERSON,Shyamala Raju,ACTOR,,1,informative,,"At the relevant time, one Shyamala Raju was the cultivating tenant."
87,evacuee,46,1,ORG,Evacuee,ACTOR,,1,informative,,"In the villages which were wholly inhabited by Muslims and from which almost the entire population migrated to Pakistan, all the Shamlat-deh lands together with the other proprietary lands were declared evacuee property and came to be veste"
88,khurshid jah,46,1,PERSON,Khurshid Jah,ACTOR,,1,informative,,The dispute on hand relates to a Paigah granted to a person by name Khurshid Jah and the grant came to be known as Khurshid Jah Paigah.
89,chief justice,45,6,ORG,Chief Justice,ACTOR,,1,informative,,"Gram Panchayat Of Village, Jamalpur vs Malwinder Singh & on 9 July, 1985 CHINNAPPA REDDY, J. I agree with the conclusion of my lord the Chief Justice and I reiterate the proposition that the assent accorded by the President for the express "
90,npp,45,1,ORG,Npp,ACTOR,,1,informative,,"The incidents occurred in Three Miles Island Power Plant USA, Chernobyl, Ukraine, USSR, Fukoshima, Japan, Union Carbide, Bhopal might be haunting the memory of the people living in and around Kudankulam, leading to large-scale agitation and"
91,bombay,44,20,GPE,Bombay,EVIDENCE,,1,informative,,The GSFC resented the fact that discount was not given to them as bulk purchasers and that the prices charged for the Trombay fertiliser factory and power house at Bombay were substantially lower than the prices that the ONGC charged them.
